id,range_from,range_to,amount_tax,tax_table_id:id
tax_table_0_206,852001,852500,4100,os_hr_payroll_reports.tax_table_0
tax_table_0_207,852501,853000,4120,os_hr_payroll_reports.tax_table_0
tax_table_0_208,853001,853500,4140,os_hr_payroll_reports.tax_table_0
tax_table_0_209,853501,854000,4160,os_hr_payroll_reports.tax_table_0
tax_table_0_210,854001,854500,4180,os_hr_payroll_reports.tax_table_0
tax_table_0_211,854501,855000,4200,os_hr_payroll_reports.tax_table_0
tax_table_0_212,855001,855500,4220,os_hr_payroll_reports.tax_table_0
tax_table_0_213,855501,856000,4240,os_hr_payroll_reports.tax_table_0
tax_table_0_214,856001,856500,4260,os_hr_payroll_reports.tax_table_0
tax_table_0_215,856501,857000,4280,os_hr_payroll_reports.tax_table_0
tax_table_0_216,857001,857500,4300,os_hr_payroll_reports.tax_table_0
tax_table_0_217,857501,858000,4320,os_hr_payroll_reports.tax_table_0
tax_table_0_218,858001,858500,4340,os_hr_payroll_reports.tax_table_0
tax_table_0_219,858501,859000,4360,os_hr_payroll_reports.tax_table_0
tax_table_0_220,859001,859500,4380,os_hr_payroll_reports.tax_table_0
tax_table_0_221,859501,860000,4400,os_hr_payroll_reports.tax_table_0
tax_table_0_222,860001,860500,4420,os_hr_payroll_reports.tax_table_0
tax_table_0_223,860501,861000,4440,os_hr_payroll_reports.tax_table_0
tax_table_0_224,861001,861500,4460,os_hr_payroll_reports.tax_table_0
tax_table_0_225,861501,862000,4480,os_hr_payroll_reports.tax_table_0
tax_table_0_226,862001,862500,4500,os_hr_payroll_reports.tax_table_0
tax_table_0_227,862501,863000,4520,os_hr_payroll_reports.tax_table_0
tax_table_0_228,863001,863500,4540,os_hr_payroll_reports.tax_table_0
tax_table_0_229,863501,864000,4560,os_hr_payroll_reports.tax_table_0
tax_table_0_230,864001,864500,4580,os_hr_payroll_reports.tax_table_0
tax_table_0_231,864501,865000,4600,os_hr_payroll_reports.tax_table_0
tax_table_0_232,865001,865500,4620,os_hr_payroll_reports.tax_table_0
tax_table_0_233,865501,866000,4640,os_hr_payroll_reports.tax_table_0
tax_table_0_234,866001,866500,4660,os_hr_payroll_reports.tax_table_0
tax_table_0_235,866501,867000,4680,os_hr_payroll_reports.tax_table_0
tax_table_0_236,867001,867500,4700,os_hr_payroll_reports.tax_table_0
tax_table_0_237,867501,868000,4720,os_hr_payroll_reports.tax_table_0
tax_table_0_238,868001,868500,4740,os_hr_payroll_reports.tax_table_0
tax_table_0_239,868501,869000,4760,os_hr_payroll_reports.tax_table_0
tax_table_0_240,869001,869500,4780,os_hr_payroll_reports.tax_table_0
tax_table_0_241,869501,870000,4800,os_hr_payroll_reports.tax_table_0
tax_table_0_242,870001,870500,4820,os_hr_payroll_reports.tax_table_0
tax_table_0_243,870501,871000,4840,os_hr_payroll_reports.tax_table_0
tax_table_0_244,871001,871500,4860,os_hr_payroll_reports.tax_table_0
tax_table_0_245,871501,872000,4880,os_hr_payroll_reports.tax_table_0
tax_table_0_246,872001,872500,4900,os_hr_payroll_reports.tax_table_0
tax_table_0_247,872501,873000,4920,os_hr_payroll_reports.tax_table_0
tax_table_0_248,873001,873500,4940,os_hr_payroll_reports.tax_table_0
tax_table_0_249,873501,874000,4960,os_hr_payroll_reports.tax_table_0
tax_table_0_250,874001,874500,4980,os_hr_payroll_reports.tax_table_0
tax_table_0_251,874501,875000,5000,os_hr_payroll_reports.tax_table_0
tax_table_0_252,875001,875500,5020,os_hr_payroll_reports.tax_table_0
tax_table_0_253,875501,876000,5040,os_hr_payroll_reports.tax_table_0
tax_table_0_254,876001,876500,5060,os_hr_payroll_reports.tax_table_0
tax_table_0_255,876501,877000,5080,os_hr_payroll_reports.tax_table_0
tax_table_0_256,877001,877500,5100,os_hr_payroll_reports.tax_table_0
tax_table_0_257,877501,878000,5120,os_hr_payroll_reports.tax_table_0
tax_table_0_258,878001,878500,5140,os_hr_payroll_reports.tax_table_0
tax_table_0_259,878501,879000,5160,os_hr_payroll_reports.tax_table_0
tax_table_0_260,879001,879500,5180,os_hr_payroll_reports.tax_table_0
tax_table_0_261,879501,880000,5200,os_hr_payroll_reports.tax_table_0
tax_table_0_262,880001,880500,5220,os_hr_payroll_reports.tax_table_0
tax_table_0_263,880501,881000,5240,os_hr_payroll_reports.tax_table_0
tax_table_0_264,881001,881500,5260,os_hr_payroll_reports.tax_table_0
tax_table_0_265,881501,882000,5280,os_hr_payroll_reports.tax_table_0
tax_table_0_266,882001,882500,5300,os_hr_payroll_reports.tax_table_0
tax_table_0_267,882501,883000,5320,os_hr_payroll_reports.tax_table_0
tax_table_0_268,883001,883500,5340,os_hr_payroll_reports.tax_table_0
tax_table_0_269,883501,884000,5360,os_hr_payroll_reports.tax_table_0
tax_table_0_270,884001,884500,5380,os_hr_payroll_reports.tax_table_0
tax_table_0_271,884501,885000,5400,os_hr_payroll_reports.tax_table_0
tax_table_0_272,885001,885500,5420,os_hr_payroll_reports.tax_table_0
tax_table_0_273,885501,886000,5440,os_hr_payroll_reports.tax_table_0
tax_table_0_274,886001,886500,5460,os_hr_payroll_reports.tax_table_0
tax_table_0_275,886501,887000,5480,os_hr_payroll_reports.tax_table_0
tax_table_0_276,887001,887500,5500,os_hr_payroll_reports.tax_table_0
tax_table_0_277,887501,888000,5520,os_hr_payroll_reports.tax_table_0
tax_table_0_278,888001,888500,5540,os_hr_payroll_reports.tax_table_0
tax_table_0_279,888501,889000,5560,os_hr_payroll_reports.tax_table_0
tax_table_0_280,889001,889500,5580,os_hr_payroll_reports.tax_table_0
tax_table_0_281,889501,890000,5600,os_hr_payroll_reports.tax_table_0
tax_table_0_282,890001,890500,5620,os_hr_payroll_reports.tax_table_0
tax_table_0_283,890501,891000,5640,os_hr_payroll_reports.tax_table_0
tax_table_0_284,891001,891500,5660,os_hr_payroll_reports.tax_table_0
tax_table_0_285,891501,892000,5680,os_hr_payroll_reports.tax_table_0
tax_table_0_286,892001,892500,5700,os_hr_payroll_reports.tax_table_0
tax_table_0_287,892501,893000,5720,os_hr_payroll_reports.tax_table_0
tax_table_0_288,893001,893500,5740,os_hr_payroll_reports.tax_table_0
tax_table_0_289,893501,894000,5760,os_hr_payroll_reports.tax_table_0
tax_table_0_290,894001,894500,5780,os_hr_payroll_reports.tax_table_0
tax_table_0_291,894501,895000,5800,os_hr_payroll_reports.tax_table_0
tax_table_0_292,895001,895500,5820,os_hr_payroll_reports.tax_table_0
tax_table_0_293,895501,896000,5840,os_hr_payroll_reports.tax_table_0
tax_table_0_294,896001,896500,5860,os_hr_payroll_reports.tax_table_0
tax_table_0_295,896501,897000,5880,os_hr_payroll_reports.tax_table_0
tax_table_0_296,897001,897500,5900,os_hr_payroll_reports.tax_table_0
tax_table_0_297,897501,898000,5920,os_hr_payroll_reports.tax_table_0
tax_table_0_298,898001,898500,5940,os_hr_payroll_reports.tax_table_0
tax_table_0_299,898501,899000,5960,os_hr_payroll_reports.tax_table_0
tax_table_0_300,899001,899500,5980,os_hr_payroll_reports.tax_table_0
tax_table_0_301,899501,900000,6000,os_hr_payroll_reports.tax_table_0
tax_table_0_302,900001,900500,6020,os_hr_payroll_reports.tax_table_0
tax_table_0_303,900501,901000,6040,os_hr_payroll_reports.tax_table_0
tax_table_0_304,901001,901500,6060,os_hr_payroll_reports.tax_table_0
tax_table_0_305,901501,902000,6080,os_hr_payroll_reports.tax_table_0
tax_table_0_306,902001,902500,6100,os_hr_payroll_reports.tax_table_0
tax_table_0_307,902501,903000,6120,os_hr_payroll_reports.tax_table_0
tax_table_0_308,903001,903500,6140,os_hr_payroll_reports.tax_table_0
tax_table_0_309,903501,904000,6160,os_hr_payroll_reports.tax_table_0
tax_table_0_310,904001,904500,6180,os_hr_payroll_reports.tax_table_0
tax_table_0_311,904501,905000,6200,os_hr_payroll_reports.tax_table_0
tax_table_0_312,905001,905500,6220,os_hr_payroll_reports.tax_table_0
tax_table_0_313,905501,906000,6240,os_hr_payroll_reports.tax_table_0
tax_table_0_314,906001,906500,6260,os_hr_payroll_reports.tax_table_0
tax_table_0_315,906501,907000,6280,os_hr_payroll_reports.tax_table_0
tax_table_0_316,907001,907500,6300,os_hr_payroll_reports.tax_table_0
tax_table_0_317,907501,908000,6320,os_hr_payroll_reports.tax_table_0
tax_table_0_318,908001,908500,6340,os_hr_payroll_reports.tax_table_0
tax_table_0_319,908501,909000,6360,os_hr_payroll_reports.tax_table_0
tax_table_0_320,909001,909500,6380,os_hr_payroll_reports.tax_table_0
tax_table_0_321,909501,910000,6400,os_hr_payroll_reports.tax_table_0
tax_table_0_322,910001,910500,6420,os_hr_payroll_reports.tax_table_0
tax_table_0_323,910501,911000,6440,os_hr_payroll_reports.tax_table_0
tax_table_0_324,911001,911500,6460,os_hr_payroll_reports.tax_table_0
tax_table_0_325,911501,912000,6480,os_hr_payroll_reports.tax_table_0
tax_table_0_326,912001,912500,6500,os_hr_payroll_reports.tax_table_0
tax_table_0_327,912501,913000,6520,os_hr_payroll_reports.tax_table_0
tax_table_0_328,913001,913500,6540,os_hr_payroll_reports.tax_table_0
tax_table_0_329,913501,914000,6560,os_hr_payroll_reports.tax_table_0
tax_table_0_330,914001,914500,6580,os_hr_payroll_reports.tax_table_0
tax_table_0_331,914501,915000,6600,os_hr_payroll_reports.tax_table_0
tax_table_0_332,915001,915500,6620,os_hr_payroll_reports.tax_table_0
tax_table_0_333,915501,916000,6640,os_hr_payroll_reports.tax_table_0
tax_table_0_334,916001,916500,6660,os_hr_payroll_reports.tax_table_0
tax_table_0_335,916501,917000,6680,os_hr_payroll_reports.tax_table_0
tax_table_0_336,917001,917500,6700,os_hr_payroll_reports.tax_table_0
tax_table_0_337,917501,918000,6720,os_hr_payroll_reports.tax_table_0
tax_table_0_338,918001,918500,6740,os_hr_payroll_reports.tax_table_0
tax_table_0_339,918501,919000,6760,os_hr_payroll_reports.tax_table_0
tax_table_0_340,919001,919500,6780,os_hr_payroll_reports.tax_table_0
tax_table_0_341,919501,920000,6800,os_hr_payroll_reports.tax_table_0
tax_table_0_342,920001,920500,6820,os_hr_payroll_reports.tax_table_0
tax_table_0_343,920501,921000,6840,os_hr_payroll_reports.tax_table_0
tax_table_0_344,921001,921500,6860,os_hr_payroll_reports.tax_table_0
tax_table_0_345,921501,922000,6880,os_hr_payroll_reports.tax_table_0
tax_table_0_346,922001,922500,6900,os_hr_payroll_reports.tax_table_0
tax_table_0_347,922501,923000,6920,os_hr_payroll_reports.tax_table_0
tax_table_0_348,923001,923500,6940,os_hr_payroll_reports.tax_table_0
tax_table_0_349,923501,924000,6960,os_hr_payroll_reports.tax_table_0
tax_table_0_350,924001,924500,6980,os_hr_payroll_reports.tax_table_0
tax_table_0_351,924501,925000,7000,os_hr_payroll_reports.tax_table_0
tax_table_0_352,925001,925500,7020,os_hr_payroll_reports.tax_table_0
tax_table_0_353,925501,926000,7040,os_hr_payroll_reports.tax_table_0
tax_table_0_354,926001,926500,7060,os_hr_payroll_reports.tax_table_0
tax_table_0_355,926501,927000,7080,os_hr_payroll_reports.tax_table_0
tax_table_0_356,927001,927500,7100,os_hr_payroll_reports.tax_table_0
tax_table_0_357,927501,928000,7120,os_hr_payroll_reports.tax_table_0
tax_table_0_358,928001,928500,7140,os_hr_payroll_reports.tax_table_0
tax_table_0_359,928501,929000,7160,os_hr_payroll_reports.tax_table_0
tax_table_0_360,929001,929500,7180,os_hr_payroll_reports.tax_table_0
tax_table_0_361,929501,930000,7200,os_hr_payroll_reports.tax_table_0
tax_table_0_362,930001,930500,7220,os_hr_payroll_reports.tax_table_0
tax_table_0_363,930501,931000,7240,os_hr_payroll_reports.tax_table_0
tax_table_0_364,931001,931500,7260,os_hr_payroll_reports.tax_table_0
tax_table_0_365,931501,932000,7280,os_hr_payroll_reports.tax_table_0
tax_table_0_366,932001,932500,7300,os_hr_payroll_reports.tax_table_0
tax_table_0_367,932501,933000,7320,os_hr_payroll_reports.tax_table_0
tax_table_0_368,933001,933500,7340,os_hr_payroll_reports.tax_table_0
tax_table_0_369,933501,934000,7360,os_hr_payroll_reports.tax_table_0
tax_table_0_370,934001,934500,7380,os_hr_payroll_reports.tax_table_0
tax_table_0_371,934501,935000,7400,os_hr_payroll_reports.tax_table_0
tax_table_0_372,935001,935500,7420,os_hr_payroll_reports.tax_table_0
tax_table_0_373,935501,936000,7440,os_hr_payroll_reports.tax_table_0
tax_table_0_374,936001,936500,7460,os_hr_payroll_reports.tax_table_0
tax_table_0_375,936501,937000,7480,os_hr_payroll_reports.tax_table_0
tax_table_0_376,937001,937500,7500,os_hr_payroll_reports.tax_table_0
tax_table_0_377,937501,938000,7520,os_hr_payroll_reports.tax_table_0
